epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,62005.6,0.47641,3.00908,0.88831,0.14659,0.28737,0.19453,0.18779,0.30113,2.64098,0.79437,3.64e-05,3.64e-05,3.64e-05
42,62862.9,0.37223,2.90722,0.84011,0.12459,0.30723,0.18621,0.17974,0.30692,2.64753,0.7965,3.2935e-05,3.2935e-05,3.2935e-05
43,63639.9,0.36125,3.06695,0.8207,0.12069,0.30163,0.17331,0.16811,0.30453,2.68507,0.79503,2.947e-05,2.947e-05,2.947e-05
44,63700.7,0.35752,2.73965,0.81433,0.13028,0.28271,0.18226,0.17598,0.30157,2.65799,0.79453,2.6005e-05,2.6005e-05,2.6005e-05
45,63765.7,0.35963,2.70604,0.82858,0.1542,0.28241,0.19276,0.18643,0.30345,2.60844,0.79579,2.254e-05,2.254e-05,2.254e-05
46,63828.6,0.36283,2.86326,0.81481,0.16584,0.28054,0.19665,0.18982,0.30503,2.57382,0.79601,1.9075e-05,1.9075e-05,1.9075e-05
47,63887.4,0.36718,2.68705,0.83132,0.1794,0.26881,0.20142,0.19423,0.30742,2.56375,0.79603,1.561e-05,1.561e-05,1.561e-05
48,63955.3,0.35308,2.67079,0.82147,0.16324,0.29025,0.20462,0.19713,0.30661,2.56066,0.7959,1.2145e-05,1.2145e-05,1.2145e-05
49,64018.2,0.37538,2.64798,0.82082,0.14889,0.2831,0.20306,0.19561,0.30608,2.55616,0.79542,8.68e-06,8.68e-06,8.68e-06
50,64080.2,0.34625,2.63687,0.81519,0.16787,0.28043,0.20687,0.19914,0.30509,2.55011,0.7951,5.215e-06,5.215e-06,5.215e-06
